Period,Area of Residence,Total Visits,Total Spending in millions,Nights Spent,Purpose of Visit,Year,Visits by Purpose,Spending in millions,Number of visits by Air,Number of visits by Sea and Tunnel
2019,North America,5373000,4918,36859000,Holiday - All,2019,2576000,2542,2041000,534000
2019,North America,5373000,4918,36859000,Holiday - Inclusive tour,2019,422000,494,297000,125000
2019,North America,5373000,4918,36859000,Business,2019,882000,1213,841000,41000
2019,North America,5373000,4918,36859000,Visit friends or relatives,2019,1391000,851,1313000,78000
2019,North America,5373000,4918,36859000,Miscellaneous,2019,524000,298,514000,10000
2019,North America,5373000,4918,36859000,All visits,2019,5373000,4918,4710000,663000
2020,North America,1171000,,,Holiday - All,2020,,,,
2020,North America,1171000,,,Holiday - Inclusive tour,2020,,,,
2020,North America,1171000,,,Business,2020,,,,
2020,North America,1171000,,,Visit friends or relatives,2020,,,,
2020,North America,1171000,,,Miscellaneous,2020,,,,
2020,North America,1171000,,,All visits,2020,1171000,,,
2021,North America,792000,932,12962000,Holiday - All,2021,175000,223,129000,46000
2021,North America,792000,932,12962000,Holiday - Inclusive tour,2021,9000,12,6000,2000
2021,North America,792000,932,12962000,Business,2021,96000,181,90000,6000
2021,North America,792000,932,12962000,Visit friends or relatives,2021,437000,417,423000,14000
2021,North America,792000,932,12962000,Miscellaneous,2021,84000,110,82000,2000
2021,North America,792000,932,12962000,All visits,2021,792000,932,724000,68000
2022,North America,5483000,6896,48770000,Holiday - All,2022,2537000,3577,2009000,527000
2022,North America,5483000,6896,48770000,Holiday - Inclusive tour,2022,221000,477,177000,44000
2022,North America,5483000,6896,48770000,Business,2022,640000,1342,586000,54000
2022,North America,5483000,6896,48770000,Visit friends or relatives,2022,1744000,1529,1643000,102000
2022,North America,5483000,6896,48770000,Miscellaneous,2022,562000,435,538000,24000
2022,North America,5483000,6896,48770000,All visits,2022,5483000,6896,4776000,707000
2023,North America,6125000,7227,49139000,Holiday - All,2023,3038000,4140,2443000,596000
2023,North America,6125000,7227,49139000,Holiday - Inclusive tour,2023,315000,520,254000,61000
2023,North America,6125000,7227,49139000,Business,2023,675000,1137,634000,41000
2023,North America,6125000,7227,49139000,Visit friends or relatives,2023,1732000,1516,1614000,118000
2023,North America,6125000,7227,49139000,Miscellaneous,2023,680000,410,661000,18000
2023,North America,6125000,7227,49139000,All visits,2023,6125000,7227,5352000,773000
2019 Q1,North America,900000,818,6263000,Holiday - All,2019 Q1,351000,296,275000,76000
2019 Q1,North America,900000,818,6263000,Holiday - Inclusive tour,2019 Q1,50000,46,25000,25000
2019 Q1,North America,900000,818,6263000,Business,2019 Q1,213000,324,205000,8000
2019 Q1,North America,900000,818,6263000,Visit friends or relatives,2019 Q1,254000,135,236000,18000
2019 Q1,North America,900000,818,6263000,Miscellaneous,2019 Q1,82000,61,80000,2000
2019 Q1,North America,900000,818,6263000,All visits,2019 Q1,900000,818,796000,104000
2019 Q2,North America,1537000,1462,9621000,Holiday - All,2019 Q2,791000,784,596000,196000
2019 Q2,North America,1537000,1462,9621000,Holiday - Inclusive tour,2019 Q2,148000,169,94000,55000
2019 Q2,North America,1537000,1462,9621000,Business,2019 Q2,248000,379,236000,12000
2019 Q2,North America,1537000,1462,9621000,Visit friends or relatives,2019 Q2,364000,210,334000,30000
2019 Q2,North America,1537000,1462,9621000,Miscellaneous,2019 Q2,134000,85,132000,2000
2019 Q2,North America,1537000,1462,9621000,All visits,2019 Q2,1537000,1462,1297000,240000
2019 Q3,North America,1745000,1598,12806000,Holiday - All,2019 Q3,916000,964,743000,173000
2019 Q3,North America,1745000,1598,12806000,Holiday - Inclusive tour,2019 Q3,162000,213,124000,38000
2019 Q3,North America,1745000,1598,12806000,Business,2019 Q3,209000,254,199000,10000
2019 Q3,North America,1745000,1598,12806000,Visit friends or relatives,2019 Q3,433000,289,419000,14000
2019 Q3,North America,1745000,1598,12806000,Miscellaneous,2019 Q3,187000,87,181000,5000
2019 Q3,North America,1745000,1598,12806000,All visits,2019 Q3,1745000,1598,1543000,202000
2019 Q4,North America,1191000,1041,8169000,Holiday - All,2019 Q4,518000,499,428000,90000
2019 Q4,North America,1191000,1041,8169000,Holiday - Inclusive tour,2019 Q4,62000,66,55000,7000
2019 Q4,North America,1191000,1041,8169000,Business,2019 Q4,212000,257,201000,11000
2019 Q4,North America,1191000,1041,8169000,Visit friends or relatives,2019 Q4,340000,217,324000,16000
2019 Q4,North America,1191000,1041,8169000,Miscellaneous,2019 Q4,121000,66,121000,0
2019 Q4,North America,1191000,1041,8169000,All visits,2019 Q4,1191000,1041,1073000,117000
2020 Q1,North America,31000,31,1398000,Holiday - All,2020 Q1,1000,1,1000,0
2020 Q1,North America,31000,31,1398000,Holiday - Inclusive tour,2020 Q1,0,0,0,0
2020 Q1,North America,31000,31,1398000,Business,2020 Q1,2000,7,2000,0
2020 Q1,North America,31000,31,1398000,Visit friends or relatives,2020 Q1,25000,20,25000,0
2020 Q1,North America,31000,31,1398000,Miscellaneous,2020 Q1,4000,3,4000,0
2020 Q1,North America,31000,31,1398000,All visits,2020 Q1,31000,31,31000,0
2020 Q2,North America,51000,68,1946000,Holiday - All,2020 Q2,1000,3,1000,0
2020 Q2,North America,51000,68,1946000,Holiday - Inclusive tour,2020 Q2,0,0,0,0
2020 Q2,North America,51000,68,1946000,Business,2020 Q2,5000,17,5000,0
2020 Q2,North America,51000,68,1946000,Visit friends or relatives,2020 Q2,35000,38,35000,0
2020 Q2,North America,51000,68,1946000,Miscellaneous,2020 Q2,9000,10,9000,0
2020 Q2,North America,51000,68,1946000,All visits,2020 Q2,51000,68,50000,0
2020 Q3,North America,289000,329,4805000,Holiday - All,2020 Q3,45000,65,41000,5000
2020 Q3,North America,289000,329,4805000,Holiday - Inclusive tour,2020 Q3,2000,3,2000,0
2020 Q3,North America,289000,329,4805000,Business,2020 Q3,29000,57,28000,1000
2020 Q3,North America,289000,329,4805000,Visit friends or relatives,2020 Q3,179000,165,176000,3000
2020 Q3,North America,289000,329,4805000,Miscellaneous,2020 Q3,37000,40,36000,1000
2020 Q3,North America,289000,329,4805000,All visits,2020 Q3,289000,329,281000,9000
2020 Q4,North America,421000,504,4814000,Holiday - All,2020 Q4,127000,153,86000,41000
2020 Q4,North America,421000,504,4814000,Holiday - Inclusive tour,2020 Q4,7000,9,5000,2000
2020 Q4,North America,421000,504,4814000,Business,2020 Q4,60000,100,55000,5000
2020 Q4,North America,421000,504,4814000,Visit friends or relatives,2020 Q4,198000,193,187000,11000
2020 Q4,North America,421000,504,4814000,Miscellaneous,2020 Q4,35000,57,34000,1000
2020 Q4,North America,421000,504,4814000,All visits,2020 Q4,421000,504,362000,58000
2021 Q1,North America,31000,31,1398000,Holiday - All,2021 Q1,1000,1,1000,0
2021 Q1,North America,31000,31,1398000,Holiday - Inclusive tour,2021 Q1,0,0,0,0
2021 Q1,North America,31000,31,1398000,Business,2021 Q1,2000,7,2000,0
2021 Q1,North America,31000,31,1398000,Visit friends or relatives,2021 Q1,25000,20,25000,0
2021 Q1,North America,31000,31,1398000,Miscellaneous,2021 Q1,4000,3,4000,0
2021 Q1,North America,31000,31,1398000,All visits,2021 Q1,31000,31,31000,0
2021 Q2,North America,51000,68,1946000,Holiday - All,2021 Q2,1000,3,1000,0
2021 Q2,North America,51000,68,1946000,Holiday - Inclusive tour,2021 Q2,0,0,0,0
2021 Q2,North America,51000,68,1946000,Business,2021 Q2,5000,17,5000,0
2021 Q2,North America,51000,68,1946000,Visit friends or relatives,2021 Q2,35000,38,35000,0
2021 Q2,North America,51000,68,1946000,Miscellaneous,2021 Q2,9000,10,9000,0
2021 Q2,North America,51000,68,1946000,All visits,2021 Q2,51000,68,50000,0
2021 Q3,North America,289000,329,4805000,Holiday - All,2021 Q3,45000,65,41000,5000
2021 Q3,North America,289000,329,4805000,Holiday - Inclusive tour,2021 Q3,2000,3,2000,0
