Area of Residence,Country,Year,Visits by Country,Spendings by Country
North America,Canada,2019,874000,734
North America,USA,2019,4499000,4184
North America,Total North America,2019,5373000,4918
Europe,Austria,2019,342000,172
Europe,Belgium,2019,1135000,359
Europe,Bulgaria,2019,235000,170
Europe,Czech Republic,2019,414000,165
Europe,Cyprus,2019,128000,107
Europe,Denmark,2019,691000,329
Europe,Finland,2019,215000,122
Europe,France,2019,3561000,1398
Europe,Germany,2019,3233000,1567
Europe,Greece,2019,250000,170
Europe,Hungary,2019,334000,145
Europe,Republic of Ireland,2019,2851000,958
Europe,Italy,2019,2197000,1109
Europe,Lithuania,2019,236000,111
Europe,Luxembourg,2019,146000,84
Europe,Malta,2019,190000,130
Europe,Netherlands,2019,1987000,796
Europe,Norway,2019,647000,437
Europe,Poland,2019,1651000,498
Europe,Portugal,2019,613000,292
Europe,Romania,2019,902000,439
Europe,Russia,2019,199000,182
Europe,Slovakia,2019,113000,42
Europe,Spain,2019,2319000,977
Europe,Sweden,2019,789000,400
Europe,Switzerland,2019,926000,570
Europe,Turkey,2019,334000,264
Europe,Rest of Europe,2019,655000,414
Europe,Total Europe,2019,27293000,12407
Europe,EU,2019,24828000,10661
Europe,EU15,2019,20328000,8733
Europe,EU Other,2019,4500000,1928
Other Countries,Egypt,2019,52000,80
Other Countries,Morocco,2019,33000,35
Other Countries,Tunisia,2019,9000,4
Other Countries,Other North Africa,2019,21000,27
Other Countries,South Africa,2019,217000,222
Other Countries,Nigeria,2019,208000,332
Other Countries,Other Africa,2019,188000,285
Other Countries,Israel,2019,265000,243
Other Countries,United Arab Emirates,2019,553000,869
Other Countries,Other Middle East,2019,723000,1839
Other Countries,Hong Kong (China),2019,409000,560
Other Countries,Other China,2019,1010000,1898
Other Countries,India,2019,692000,753
Other Countries,Japan,2019,389000,369
Other Countries,Pakistan,2019,90000,115
Other Countries,Sri Lanka,2019,29000,27
Other Countries,Thailand,2019,184000,279
Other Countries,Other Asia,2019,955000,1115
Other Countries,Australia,2019,1063000,1174
Other Countries,New Zealand,2019,188000,171
Other Countries,Barbados,2019,27000,15
Other Countries,Jamaica,2019,8000,5
Other Countries,Other Caribbean,2019,109000,103
Other Countries,Brazil,2019,291000,250
Other Countries,Mexico,2019,166000,122
Other Countries,Other Central & Sth. America,2019,311000,230
Other Countries,Rest of the World,2019,2000,0
Other Countries,Total Other Countries,2019,8191000,11123
Total World,Total World,2019,40857000,28448
North America,Canada,2020,128000,147
North America,USA,2020,663000,784
North America,Total North America,2020,792000,932
Europe,Austria,2020,56000,29
Europe,Belgium,2020,159000,120
Europe,Bulgaria,2020,57000,37
Europe,Czech Republic,2020,55000,20
Europe,Cyprus,2020,41000,33
Europe,Denmark,2020,101000,62
Europe,Finland,2020,17000,18
Europe,France,2020,678000,421
Europe,Germany,2020,390000,236
Europe,Greece,2020,72000,72
Europe,Hungary,2020,58000,21
Europe,Republic of Ireland,2020,709000,294
Europe,Italy,2020,255000,174
Europe,Lithuania,2020,47000,19
Europe,Luxembourg,2020,16000,11
Europe,Malta,2020,27000,45
