Period,Area of Residence,Total Visits,Total Spending in millions,Nights Spent,Purpose of Visit,Year,Visits by Purpose,Spending in millions,Number of visits by Air,Number of visits by Sea and Tunnel,Quarter
2019,North America,5373000,4918,36859000,Holiday - All,2019,2576000,2542,2041000,534000,0
2019,North America,5373000,4918,36859000,Holiday - Inclusive tour,2019,422000,494,297000,125000,0
2019,North America,5373000,4918,36859000,Business,2019,882000,1213,841000,41000,0
2019,North America,5373000,4918,36859000,Visit friends or relatives,2019,1391000,851,1313000,78000,0
2019,North America,5373000,4918,36859000,Miscellaneous,2019,524000,298,514000,10000,0
2019,North America,5373000,4918,36859000,All visits,2019,5373000,4918,4710000,663000,0
2020,North America,792000,932,12963000,Holiday - All,2020,174000,222,129000,46000,0
2020,North America,792000,932,12963000,Holiday - Inclusive tour,2020,9000,12,7000,2000,0
2020,North America,792000,932,12963000,Business,2020,96000,181,90000,6000,0
2020,North America,792000,932,12963000,Visit friends or relatives,2020,437000,416,423000,14000,0
2020,North America,792000,932,12963000,Miscellaneous,2020,85000,110,83000,2000,0
2020,North America,792000,932,12963000,All visits,2020,792000,932,724000,67000,0
2021,North America,792000,932,12962000,Holiday - All,2021,175000,223,129000,46000,0
2021,North America,792000,932,12962000,Holiday - Inclusive tour,2021,9000,12,6000,2000,0
2021,North America,792000,932,12962000,Business,2021,96000,181,90000,6000,0
2021,North America,792000,932,12962000,Visit friends or relatives,2021,437000,417,423000,14000,0
2021,North America,792000,932,12962000,Miscellaneous,2021,84000,110,82000,2000,0
2021,North America,792000,932,12962000,All visits,2021,792000,932,724000,68000,0
2022,North America,5483000,6896,48770000,Holiday - All,2022,2537000,3577,2009000,527000,0
2022,North America,5483000,6896,48770000,Holiday - Inclusive tour,2022,221000,477,177000,44000,0
2022,North America,5483000,6896,48770000,Business,2022,640000,1342,586000,54000,0
2022,North America,5483000,6896,48770000,Visit friends or relatives,2022,1744000,1529,1643000,102000,0
2022,North America,5483000,6896,48770000,Miscellaneous,2022,562000,435,538000,24000,0
2022,North America,5483000,6896,48770000,All visits,2022,5483000,6896,4776000,707000,0
2023,North America,6125000,7227,49139000,Holiday - All,2023,3038000,4140,2443000,596000,0
2023,North America,6125000,7227,49139000,Holiday - Inclusive tour,2023,315000,520,254000,61000,0
2023,North America,6125000,7227,49139000,Business,2023,675000,1137,634000,41000,0
2023,North America,6125000,7227,49139000,Visit friends or relatives,2023,1732000,1516,1614000,118000,0
2023,North America,6125000,7227,49139000,Miscellaneous,2023,680000,410,661000,18000,0
2023,North America,6125000,7227,49139000,All visits,2023,6125000,7227,5352000,773000,0
2019 Q1,North America,900000,818,6263000,Holiday - All,2019,351000,296,275000,76000,Q1
2019 Q1,North America,900000,818,6263000,Holiday - Inclusive tour,2019,50000,46,25000,25000,Q1
2019 Q1,North America,900000,818,6263000,Business,2019,213000,324,205000,8000,Q1
2019 Q1,North America,900000,818,6263000,Visit friends or relatives,2019,254000,135,236000,18000,Q1
2019 Q1,North America,900000,818,6263000,Miscellaneous,2019,82000,61,80000,2000,Q1
2019 Q1,North America,900000,818,6263000,All visits,2019,900000,818,796000,104000,Q1
2019 Q2,North America,1537000,1462,9621000,Holiday - All,2019,791000,784,596000,196000,Q2
2019 Q2,North America,1537000,1462,9621000,Holiday - Inclusive tour,2019,148000,169,94000,55000,Q2
2019 Q2,North America,1537000,1462,9621000,Business,2019,248000,379,236000,12000,Q2
2019 Q2,North America,1537000,1462,9621000,Visit friends or relatives,2019,364000,210,334000,30000,Q2
2019 Q2,North America,1537000,1462,9621000,Miscellaneous,2019,134000,85,132000,2000,Q2
2019 Q2,North America,1537000,1462,9621000,All visits,2019,1537000,1462,1297000,240000,Q2
2019 Q3,North America,1745000,1598,12806000,Holiday - All,2019,916000,964,743000,173000,Q3
2019 Q3,North America,1745000,1598,12806000,Holiday - Inclusive tour,2019,162000,213,124000,38000,Q3
2019 Q3,North America,1745000,1598,12806000,Business,2019,209000,254,199000,10000,Q3
2019 Q3,North America,1745000,1598,12806000,Visit friends or relatives,2019,433000,289,419000,14000,Q3
2019 Q3,North America,1745000,1598,12806000,Miscellaneous,2019,187000,87,181000,5000,Q3
2019 Q3,North America,1745000,1598,12806000,All visits,2019,1745000,1598,1543000,202000,Q3
2019 Q4,North America,1191000,1041,8169000,Holiday - All,2019,518000,499,428000,90000,Q4
2019 Q4,North America,1191000,1041,8169000,Holiday - Inclusive tour,2019,62000,66,55000,7000,Q4
2019 Q4,North America,1191000,1041,8169000,Business,2019,212000,257,201000,11000,Q4
2019 Q4,North America,1191000,1041,8169000,Visit friends or relatives,2019,340000,217,324000,16000,Q4
2019 Q4,North America,1191000,1041,8169000,Miscellaneous,2019,121000,66,121000,0,Q4
2019 Q4,North America,1191000,1041,8169000,All visits,2019,1191000,1041,1073000,117000,Q4
2020 Q1,North America,31000,31,1398000,Holiday - All,2020,1000,1,1000,0,Q1
2020 Q1,North America,31000,31,1398000,Holiday - Inclusive tour,2020,0,0,0,0,Q1
2020 Q1,North America,31000,31,1398000,Business,2020,2000,7,2000,0,Q1
2020 Q1,North America,31000,31,1398000,Visit friends or relatives,2020,25000,20,25000,0,Q1
2020 Q1,North America,31000,31,1398000,Miscellaneous,2020,4000,3,4000,0,Q1
2020 Q1,North America,31000,31,1398000,All visits,2020,31000,31,31000,0,Q1
