Area and Purpose,Predicted Spending (in millions)
North America - Holiday - All,7994.262548659975
North America - Holiday - Inclusive tour,1348.4517610721502
North America - Business,2969.0019801246576
North America - Visit friends or relatives,4533.001851191207
North America - Miscellaneous,2246.2648478437955
Europe - Holiday - All,17016.9847984499
Europe - Holiday - Inclusive tour,2786.320349000023
Europe - Business,9217.182055471174
Europe - Visit friends or relatives,14373.43005223715
Europe - Miscellaneous,4518.534338369451
EU - Holiday - All,14834.930598886653
EU - Holiday - Inclusive tour,2473.0891448715915
EU - Business,8075.247181544188
EU - Visit friends or relatives,12458.828647855587
EU - Miscellaneous,3838.528069773903
EU15 - Holiday - All,13067.202507071086
EU15 - Holiday - Inclusive tour,2194.6793444073087
EU15 - Business,6670.06831651766
EU15 - Visit friends or relatives,10256.767373807736
EU15 - Miscellaneous,3478.153177616688
Other EU - Holiday - All,3236.961423597834
Other EU - Holiday - Inclusive tour,454.38581481903503
Other EU - Business,2136.9066589653144
Other EU - Visit friends or relatives,3124.3864331898153
Other EU - Miscellaneous,679.5611976794162
Other Countries - Holiday - All,11092.368352796328
Other Countries - Holiday - Inclusive tour,1776.976836736283
Other Countries - Business,4123.017557741279
Other Countries - Visit friends or relatives,8305.950039896636
Other Countries - Miscellaneous,3866.1667785227637
World Total - Holiday - All,34043.2439667317
World Total - Holiday - Inclusive tour,7552.110468442755
World Total - Business,19109.819361576418
World Total - Visit friends or relatives,30934.79753110727
World Total - Miscellaneous,10431.426596777492
