Region of UK,Area of Residence,Year,Visits by region of UK and area of residence,Spendings by region of UK and area of residence,Nights Spent by region of UK and area of residence
North East,North America,2019,60000.0,34.0,423000.0
North East,Europe,2019,345000.0,112.0,1709000.0
North East,European Union,2019,326000.0,107.0,1646000.0
North East,EU15,2019,262000.0,92.0,1338000.0
North East,Other European Union,2019,64000.0,14.0,308000.0
North East,Other Countries,2019,131000.0,221.0,2495000.0
North East,Total World,2019,536000.0,367.0,4627000.0
North West,North America,2019,343000.0,185.0,1773000.0
North West,Europe,2019,2301000.0,777.0,9766000.0
North West,European Union,2019,2055000.0,668.0,8755000.0
North West,EU15,2019,1606000.0,564.0,6706000.0
North West,Other European Union,2019,448000.0,104.0,2048000.0
North West,Other Countries,2019,798000.0,648.0,8523000.0
North West,Total World,2019,3441000.0,1611.0,20063000.0
Yorkshire and the Humber,North America,2019,151000.0,71.0,1042000.0
Yorkshire and the Humber,Europe,2019,850000.0,301.0,6687000.0
Yorkshire and the Humber,European Union,2019,740000.0,255.0,5907000.0
Yorkshire and the Humber,EU15,2019,490000.0,144.0,2918000.0
Yorkshire and the Humber,Other European Union,2019,250000.0,111.0,2989000.0
Yorkshire and the Humber,Other Countries,2019,327000.0,265.0,3433000.0
Yorkshire and the Humber,Total World,2019,1328000.0,637.0,11162000.0
East Midlands,North America,2019,111000.0,54.0,642000.0
East Midlands,Europe,2019,864000.0,233.0,5067000.0
East Midlands,European Union,2019,804000.0,199.0,4534000.0
East Midlands,EU15,2019,512000.0,128.0,2397000.0
East Midlands,Other European Union,2019,292000.0,71.0,2136000.0
East Midlands,Other Countries,2019,227000.0,174.0,2608000.0
East Midlands,Total World,2019,1202000.0,461.0,8318000.0
West Midlands,North America,2019,208000.0,94.0,1415000.0
West Midlands,Europe,2019,1818000.0,602.0,9187000.0
West Midlands,European Union,2019,1719000.0,560.0,8512000.0
West Midlands,EU15,2019,1151000.0,364.0,5129000.0
West Midlands,Other European Union,2019,568000.0,196.0,3383000.0
West Midlands,Other Countries,2019,402000.0,347.0,5406000.0
West Midlands,Total World,2019,2428000.0,1043.0,16008000.0
East of England,North America,2019,264000.0,137.0,1723000.0
East of England,Europe,2019,1569000.0,512.0,9491000.0
East of England,European Union,2019,1417000.0,451.0,8773000.0
East of England,EU15,2019,1037000.0,317.0,5552000.0
East of England,Other European Union,2019,380000.0,134.0,3222000.0
East of England,Other Countries,2019,433000.0,370.0,5091000.0
East of England,Total World,2019,2266000.0,1019.0,16305000.0
London,North America,2019,3587000.0,2866.0,17476000.0
London,Europe,2019,12615000.0,6138.0,57138000.0
London,European Union,2019,11372000.0,5289.0,51608000.0
London,EU15,2019,9660000.0,4435.0,39519000.0
London,Other European Union,2019,1712000.0,854.0,12089000.0
London,Other Countries,2019,5512000.0,6697.0,43814000.0
London,Total World,2019,21714000.0,15700.0,118428000.0
South East,North America,2019,719000.0,348.0,3862000.0
South East,Europe,2019,3690000.0,1345.0,21687000.0
South East,European Union,2019,3363000.0,1137.0,17045000.0
South East,EU15,2019,2726000.0,932.0,13525000.0
South East,Other European Union,2019,637000.0,206.0,3519000.0
South East,Other Countries,2019,986000.0,887.0,11283000.0
South East,Total World,2019,5396000.0,2581.0,36832000.0
South West,North America,2019,345000.0,209.0,2198000.0
South West,Europe,2019,1756000.0,712.0,11081000.0
South West,European Union,2019,1634000.0,620.0,10068000.0
South West,EU15,2019,1387000.0,523.0,8354000.0
South West,Other European Union,2019,247000.0,97.0,1714000.0
South West,Other Countries,2019,498000.0,406.0,6711000.0
South West,Total World,2019,2599000.0,1327.0,19990000.0
Total England,North America,2019,4821000.0,3998.0,30575000.0
Total England,Europe,2019,23644000.0,10733.0,131815000.0
Total England,European Union,2019,21487000.0,9287.0,116848000.0
Total England,EU15,2019,17339000.0,7498.0,85439000.0
Total England,Other European Union,2019,4147000.0,1789.0,31408000.0
Total England,Other Countries,2019,7645000.0,10020.0,89465000.0
Total England,Total World,2019,36110000.0,24751.0,251855000.0
Scotland,North America,2019,761000.0,809.0,5256000.0
Scotland,Europe,2019,1802000.0,992.0,12094000.0
Scotland,European Union,2019,1588000.0,844.0,10655000.0
Scotland,EU15,2019,1392000.0,759.0,9372000.0
Scotland,Other European Union,2019,197000.0,85.0,1283000.0
Scotland,Other Countries,2019,895000.0,747.0,10117000.0
Scotland,Total World,2019,3457000.0,2547.0,27467000.0
Wales,North America,2019,146000.0,69.0,770000.0
Wales,Europe,2019,648000.0,211.0,3504000.0
Wales,European Union,2019,613000.0,197.0,3307000.0
Wales,EU15,2019,508000.0,167.0,2719000.0
Wales,Other European Union,2019,104000.0,30.0,587000.0
Wales,Other Countries,2019,233000.0,236.0,2900000.0
Wales,Total World,2019,1027000.0,515.0,7174000.0
All Regions,North America,2019,5373000.0,4918.0,36859000.0
All Regions,Europe,2019,27293000.0,12407.0,149172000.0
All Regions,European Union,2019,24828000.0,10661.0,132429000.0
All Regions,EU15,2019,20328000.0,8733.0,98767000.0
All Regions,Other European Union,2019,4500000.0,1928.0,33662000.0
All Regions,Other Countries,2019,8191000.0,11123.0,103597000.0
All Regions,Total World,2019,40857000.0,28448.0,289628000.0
North East,North America,2020,9000.0,7.0,130000.0
North East,Europe,2020,80000.0,54.0,1315000.0
North East,European Union,2020,74000.0,32.0,944000.0
North East,EU15,2020,59000.0,26.0,723000.0
North East,Other European Union,2020,16000.0,6.0,221000.0
North East,Other Countries,2020,16000.0,27.0,696000.0
North East,Total World,2020,105000.0,88.0,2141000.0
North West,North America,2020,52000.0,47.0,881000.0
North West,Europe,2020,572000.0,266.0,5626000.0
North West,European Union,2020,526000.0,236.0,5188000.0
North West,EU15,2020,402000.0,192.0,3758000.0
North West,Other European Union,2020,124000.0,45.0,1429000.0
North West,Other Countries,2020,85000.0,177.0,3365000.0
North West,Total World,2020,708000.0,490.0,9872000.0
Yorkshire and the Humber,North America,2020,17000.0,11.0,273000.0
Yorkshire and the Humber,Europe,2020,182000.0,88.0,1863000.0
Yorkshire and the Humber,European Union,2020,173000.0,80.0,1744000.0
Yorkshire and the Humber,EU15,2020,133000.0,66.0,1296000.0
Yorkshire and the Humber,Other European Union,2020,40000.0,15.0,448000.0
Yorkshire and the Humber,Other Countries,2020,29000.0,78.0,1362000.0
Yorkshire and the Humber,Total World,2020,228000.0,178.0,3499000.0
East Midlands,North America,2020,21000.0,18.0,370000.0
East Midlands,Europe,2020,198000.0,80.0,2537000.0
East Midlands,European Union,2020,180000.0,71.0,2333000.0
East Midlands,EU15,2020,116000.0,50.0,1374000.0
East Midlands,Other European Union,2020,64000.0,21.0,959000.0
East Midlands,Other Countries,2020,27000.0,52.0,1092000.0
East Midlands,Total World,2020,246000.0,149.0,3998000.0
West Midlands,North America,2020,28000.0,27.0,668000.0
West Midlands,Europe,2020,351000.0,148.0,3687000.0
West Midlands,European Union,2020,321000.0,135.0,3295000.0
West Midlands,EU15,2020,225000.0,104.0,2221000.0
West Midlands,Other European Union,2020,96000.0,31.0,1074000.0
